SURJEK_FLOW_METER_1,SURJEK_FLOW_METER_2,ROTATIONAL_PUMP_RPM,SURJEK_PUMP_TORQUE,MAXIMUM_DAILY_PUMP_TORQUE,SURJEK_AMMONIA_FLOW_RATE,SURJEK_TUBE_PRESSURE,SURJEK_ESTIMATED_EFFICIENCY,PUMP FAILURE (1 or 0),TIMEFRAME
0,-7.712402,0,0,0,0,377.2128038,0,0,09/12/2014 0:35
0,-7.658649703,0,0,0,0,377.1973,0,0,09/12/2014 0:35
0,-6.619110327,0,0,0,0,378.1128,0,0,09/12/2014 0:35
0,-5.635484288,0,0,0,0,378.1128,0,0,09/12/2014 0:36
0,-5.471191,0,0,0,0,378.6626493,0,0,09/12/2014 0:36
0,-5.768949623,0,0,0,0,379.9438,0,0,09/12/2014 0:36
0,-5.813079352,0,0,0,0,376.2817,0,0,09/12/2014 0:36
0,-5.854911095,0,0,0,0,379.9438,0,0,09/12/2014 0:36
0,-8.620232079,0,0,0,0,378.1128,0,0,09/12/2014 0:39
0,-8.833008,0,0,0,0,378.1128,0,0,09/12/2014 0:39
0,-5.822754,0,0,0,0,378.1128,0,0,09/12/2014 0:40
0,-7.668457,0,0,0,0,378.1128,0,0,09/12/2014 0:40
0,-5.471191,0,0,0,0,378.1128,0,0,09/12/2014 0:40
0,-5.778710437,0,0,0,0,378.1128,0,0,09/12/2014 0:40
0,-6.921387,0,0,0,0,377.3907568,0,0,09/12/2014 0:41
0,-5.29541,0,0,0,0,377.2796208,0,0,09/12/2014 0:41
0,-5.680864267,0,0,0,0,377.1973,0,0,09/12/2014 0:41
0,-6.2022809,0,0,0,0,380.8594,0,0,09/12/2014 0:41
0,-6.466012768,0,0,0,0,379.0283,0,0,09/12/2014 0:41
0,-8.151855,0,0,0,0,378.8918515,0,0,09/12/2014 0:42
0,-6.328125,0,0,0,0,378.8704214,0,0,09/12/2014 0:42
0,-1.647949,0,0,0,0,378.6704247,0,0,09/12/2014 0:42
0,-6.789551,0,0,0,0,378.5967824,0,0,09/12/2014 0:43
0,-6.855469,0,0,0,0,378.4072955,0,0,09/12/2014 0:43
0,-5.866699,0,0,0,0,378.1967889,0,0,09/12/2014 0:44
0,-3.823242,0,0,0,0,378.1550813,0,0,09/12/2014 0:44
0,-5.493164,0,0,0,0,378.1231467,0,0,09/12/2014 0:44
0,-5.322023826,0,0,0,0,378.1128,0,0,09/12/2014 0:44
0,-4.451611565,0,0,0,0,377.1973,0,0,09/12/2014 0:44
0,-3.054199,0,0,0,0,377.4645945,0,0,09/12/2014 0:45
0,-9.09668,0,0,0,0,377.8627973,0,0,09/12/2014 0:45
0,-7.097168,0,0,0,0,378.7298519,0,0,09/12/2014 0:46
0,-7.205945895,0,0,0,0,379.0283,0,0,09/12/2014 0:46
0,-7.303460022,0,0,0,0,378.1128,0,0,09/12/2014 0:46
0,-8.371582,0,0,0,0,378.1128,0,0,09/12/2014 0:49
0,-6.481934,0,0,0,0,378.1128,0,0,09/12/2014 0:51
0,-8.964844,0,0,0,0,378.1128,0,0,09/12/2014 0:51
0,-8.327637,0,0,0,0,378.1128,0,0,09/12/2014 0:51
0,-7.909862075,0,0,0,0,378.1128,0,0,09/12/2014 0:51
0,-6.213461887,0,0,0,0,378.1128,0,0,09/12/2014 0:52
0,-5.229492,0,0,0,0,377.9605021,0,0,09/12/2014 0:52
0,-8.964844,0,0,0,0,377.9390569,0,0,09/12/2014 0:52
0,-5.251465,0,0,0,0,377.4368949,0,0,09/12/2014 0:53
0,-8.876953,0,0,0,0,377.2619628,0,0,09/12/2014 0:53
0,-8.319233735,0,0,0,0,377.1973,0,0,09/12/2014 0:53
0,-7.936131024,0,0,0,0,380.8594,0,0,09/12/2014 0:53
0,-7.748342952,0,0,0,0,377.1973,0,0,09/12/2014 0:53
0,-5.866699,0,0,0,0,377.770114,0,0,09/12/2014 0:53
0,-6.205188574,0,0,0,0,378.1128,0,0,09/12/2014 0:54
0,-7.734375,0,0,0,0,378.1128,0,0,09/12/2014 0:55
0,-6.218262,0,0,0,0,378.1128,0,0,09/12/2014 0:55
0,-6.28418,0,0,0,0,378.1128,0,0,09/12/2014 0:56
0,-4.746094,0,0,0,0,378.1128,0,0,09/12/2014 0:57
0,-7.734375,0,0,0,0,378.1128,0,0,09/12/2014 0:57
0,-7.082954381,0,0,0,0,378.1128,0,0,09/12/2014 0:57
0,-6.481934,0,0,0,0,378.1128,0,0,09/12/2014 0:58
0,-6.503522328,0,0,0,0,378.1128,0,0,09/12/2014 0:58
0,-7.404002744,0,0,0,0,379.0283,0,0,09/12/2014 0:59
0,-7.668457,0,0,0,0,378.5424007,0,0,09/12/2014 1:00
0,-2.944336,0,0,0,0,378.2611882,0,0,09/12/2014 1:00
0,-7.932129,0,0,0,0,377.7752889,0,0,09/12/2014 1:00
